location,Latitude,Longitude
366,-31.966351,115.896499
367,-33.487958,150.134328
368,-27.451702,153.028908
369,-29.773644,151.111333
370,-28.120516,153.460966
371,-32.253944,148.60668
372,-37.919387,145.120791
373,-34.776064,149.716315
374,-30.524001,151.691629
375,-27.429131,153.032756
376,-28.04809,153.435662
377,-33.871945,151.217999
378,-26.784045,153.123261
379,-37.993396,145.040604
380,-37.833396,145.156664
381,-37.721959,145.003274
382,-27.568294,153.02418
383,-27.489236,152.993837
384,-37.809785,144.950832
385,-34.294869,146.071735
386,-35.0165,138.63748
387,-33.79513,151.279897
388,-37.974883,145.193639
390,-35.117765,147.360666
392,-33.813269,151.184589
393,-38.209469,144.510513
394,-38.16816,144.384966
395,-34.974952,138.555663
396,-38.052716,145.339771
397,-37.747401,144.953334
398,-31.971917,115.897072
400,-33.316001,115.694248
401,-12.461334,130.841904
402,-27.595421,153.121885
403,-33.776054,150.987795
404,-33.891932,151.19737
405,-28.649724,151.922509
406,-36.057388,146.834316
408,-12.37793,130.84833
409,-37.74792,145.346524
410,-31.963397,115.909535
411,-17.150854,145.712641
412,-32.971857,151.649608
413,-26.79746,153.112585
414,-31.89171,115.80756
415,-27.326647,152.966613
416,-31.884064,115.852341
417,-28.851646,153.450703
418,-35.339608,149.181828
419,-36.028196,146.369794
420,-35.830928,150.189091
421,-32.102628,115.788832
422,-37.805935,144.957156
425,-33.31092,151.420089
426,-34.896022,138.616353
427,-31.859866,115.809432
428,-33.090808,148.178139
429,-33.710235,151.12635
430,-36.362609,144.98131
431,-33.844751,151.204672
432,-16.933979,145.755875
433,-42.89081,147.328881
434,-34.926282,138.653993
435,-33.867619,151.193912
436,-27.620391,153.034075
437,-37.867653,144.893792
438,-33.876957,151.221057
439,-33.882037,151.283185
440,-19.318717,146.724517
441,-37.73422,144.925481
442,-26.203549,152.679398
443,-33.685923,151.298312
444,-37.966692,145.110947
445,-37.812595,145.193339
446,-34.569263,150.836671
447,-33.890091,151.249545
448,-27.677619,153.167952
449,-27.47959,153.01895
450,-27.16699,151.24596
451,-29.705101,152.951115
452,-31.825328,115.821099
453,-37.833024,145.227315
454,-33.773601,151.183255
455,-37.816094,145.108374
456,-37.800808,144.974869
457,-34.023649,151.121063
458,-33.752492,151.235326
459,-26.407214,153.090293
460,-37.904642,145.045058
461,-30.763034,121.455412
462,-33.858781,151.208558
463,-26.77012,152.864588
464,-37.69048,144.86564
465,-34.617089,138.751745
466,-35.085844,138.844835
467,-35.147054,139.310779
468,-33.976411,151.09016
469,-33.75291,151.1753
470,-37.885023,145.00143
471,-32.5088,151.20731
472,-37.866372,145.092671
473,-36.163696,146.888208
474,-27.420523,153.053301
475,-31.823814,115.742134
476,-37.905568,145.142253
477,-34.913505,138.627395
478,-27.611544,153.056971
479,-36.588717,146.763488
480,-28.781336,114.594962
481,-34.014705,151.057879
482,-34.670653,150.843698
483,-17.932281,145.933248
484,-34.057441,151.009003
485,-38.510654,143.967328
486,-32.92311,151.758675
488,-33.800385,151.198639
489,-34.415511,150.89958
490,-33.910269,150.978821
491,-31.957089,115.775819
492,-27.74619,153.32316
493,-37.787132,144.214472
494,-27.605326,153.069018
495,-35.123102,147.398875
496,-34.924589,138.618649
497,-32.005019,115.842017
498,-20.2851,148.731164
499,-33.814384,151.138042
500,-37.705755,144.896227
501,-37.928354,144.996457
502,-31.782494,115.752019
503,-28.035995,153.412325
504,-37.652487,145.376285
505,-27.400787,153.1575
506,-34.909003,138.561595
507,-33.706902,151.202879
508,-37.824201,147.616472
509,-30.464655,149.262648
510,-34.051386,151.129731
513,-27.911762,153.388644
514,-37.87748,145.002585
515,-34.032459,151.085189
517,-27.502873,153.103403
518,-27.525347,152.983912
519,-27.458012,153.013004
520,-38.340189,143.795872
521,-27.426255,153.060752
522,-16.90857,145.765173
525,-37.828063,145.24366
526,-33.885882,151.233178
527,-38.110605,145.140563
528,-35.228539,149.123744
530,-37.853586,145.002354
532,-33.900149,151.030757
533,-33.947279,151.13894
534,-34.741987,150.761619
535,-32.737536,152.000091
536,-27.439496,153.063165
538,-37.558535,143.829008
539,-34.006305,150.773952
540,-37.917946,145.325807
541,-34.652989,147.99466
542,-33.704015,151.297586
543,-27.533323,152.989857
544,-33.914212,151.212547
545,-19.290924,146.795978
546,-37.785773,144.919678
547,-37.790078,145.388037
549,-37.792759,144.973519
550,-35.358917,150.473924
552,-35.016642,138.743539
553,-37.77783,145.019979
554,-37.748164,144.9707
557,-37.99978,145.11226
558,-33.880778,151.202837
561,-34.955561,138.655388
563,-33.736514,150.905776
564,-27.668464,153.19904
565,-27.477001,152.996389
566,-37.727899,144.982425
567,-27.484472,153.035484
568,-38.056765,145.300822
569,-26.563791,151.848854
570,-37.793234,144.980444
